spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,mean_abs_shap_ci,median_ale_delta,direction_flag,mean_abs_shap_share
main68,share_exposed,barro_lee_years_schooling_15_64,0.012618911260561649,0.0013961945396046354,0.00014121666389000343,0.007537988146094248,0.0027365412976250855,0.03770974265082751,positive,0.12892876046042814
main68,share_exposed,goods_trade_openness,0.0010242026345054285,9.836681472220651e-05,0.00019200741968735424,0.000645387800083717,0.00019279895685552477,0.003299340357973222,positive,0.010464387410329765
main68,share_exposed,gross_fixed_capital_formation_pct_gdp,0.0004199742939209997,6.989039155818895e-05,-0.00010971038823067492,-0.00021494332787839825,0.00013698516745405033,0.0007405395957546458,positive,0.004290922094816921
main68,share_exposed,internet_users_pct,0.021146669162319078,0.0010852116743522784,0.0004960850540054911,0.016188370298915587,0.0021270148817304655,0.06559010663851762,positive,0.21605777128218037
main68,share_exposed,log_gdp_per_capita,0.030112956085299014,0.0009226048153974304,0.00024503863623737235,0.019494325852319517,0.0018083054381789635,0.11427590199322861,positive,0.3076672798239575
main68,share_exposed,pwt_human_capital_index,0.008750662102059348,0.0006971025114002225,0.0006934751523021854,0.00454767620148124,0.0013663209223444361,0.05040167639436246,positive,0.08940644677901803
main68,share_exposed,pwt_log_real_capital_stock_per_worker,0.0009736297706475517,7.206626282899903e-05,-0.0003238075246544107,-0.000542446152818798,0.00014124987514483808,-0.001184015671507279,negative,0.009947679073493436
main68,share_exposed,wgi_government_effectiveness_score,0.012184852307904087,0.0011513281870817174,-0.0006951176888261216,0.0010813604955798302,0.002256603246680166,0.0473003676771806,positive,0.12449393390706348
main68,share_exposed,wgi_regulatory_quality_score,0.010643210874073798,0.0006023484531022002,-0.0009235007802442533,0.001348121173551749,0.0011806029680803125,0.03261776976760757,positive,0.10874281916871245
main68,substitution_share,barro_lee_years_schooling_15_64,0.005619142751036158,0.0004531540010350237,0.00038515217568223773,0.003644807054194698,0.0008881818420286464,0.01795938485770679,positive,0.13795057778057693
main68,substitution_share,goods_trade_openness,0.00027884312087758195,2.5132077119301768e-05,0.00011887703538569145,0.0001423392293833248,4.925887115383147e-05,-0.0001076947955310451,negative,0.006845629545202162
main68,substitution_share,gross_fixed_capital_formation_pct_gdp,0.00033145675639130006,3.3373713612990653e-05,-1.6842009727883184e-05,-0.00016056510838610423,6.541247868146167e-05,0.0014583336405542538,positive,0.00813730013266245
main68,substitution_share,internet_users_pct,0.009474214755107185,0.0002245093579449021,0.0003238356790706282,0.006797359439847672,0.0004400383415720081,0.028445542323818088,positive,0.23259302306269047
main68,substitution_share,log_gdp_per_capita,0.012328966160495818,0.0005379543584794649,-3.478058700420984e-05,0.009205215535668174,0.001054390542619751,0.040239817022612395,positive,0.30267748669740724
main68,substitution_share,pwt_human_capital_index,0.0033699501587614727,0.00018655368870422196,0.0003240516087896259,0.0017549465451286873,0.000365645229860275,0.017929026216133702,positive,0.08273265017286986
main68,substitution_share,pwt_log_real_capital_stock_per_worker,0.0008323971979374122,6.218301424059243e-05,-0.000153114439596374,-0.0005198522239998945,0.00012187870791156116,-0.0031581474011580586,negative,0.020435443534020364
main68,substitution_share,wgi_government_effectiveness_score,0.004714766835419206,0.000358161848809553,-0.0006152161676139184,-0.0022021987291981093,0.0007019972236667238,0.017080960262938087,positive,0.11574804874406301
main68,substitution_share,wgi_regulatory_quality_score,0.0037832757927314027,0.00026206732612106374,-0.00027165999930603565,0.0008144537834188163,0.0005136519591972849,0.01244398262853368,positive,0.09287984033050752
main68,both_share,barro_lee_years_schooling_15_64,0.005280601470312016,0.000650890076879466,-0.0001099126175764538,0.003051166193120811,0.0012757445506837533,0.01671663589021535,positive,0.10780648023368346
main68,both_share,goods_trade_openness,0.0005409386764222825,8.867704657546362e-05,0.00010920411827202124,0.00036422501289404887,0.0001738070112879087,0.0014558422237346562,positive,0.011043570520368756
main68,both_share,gross_fixed_capital_formation_pct_gdp,0.00014186440475388314,3.149180757225686e-05,-4.4788262297251836e-05,-5.77026294032799e-05,6.172394284162345e-05,-0.0003295218249780331,negative,0.0028962424513469484
main68,both_share,internet_users_pct,0.010436149506103765,0.0005062907880613999,0.0001325849355481513,0.007617410742503853,0.0009923299446003438,0.03169195667312682,positive,0.21305992352781414
main68,both_share,log_gdp_per_capita,0.015077162402197225,0.0006111381412140373,0.0002036325216631352,0.010407876175234712,0.0011978307567795132,0.05965471271684012,positive,0.30780883951018356
main68,both_share,pwt_human_capital_index,0.004663900631878119,0.0002187323948431892,0.00039748434609670065,0.0026487748192510012,0.0004287154938926508,0.02522368876878714,positive,0.09521618211660332
main68,both_share,pwt_log_real_capital_stock_per_worker,0.0004306614735999287,5.976147385985704e-05,-0.00010427887562570718,-0.0002359459516124776,0.00011713248876531979,-0.0014957049330826995,negative,0.008792198748964935
main68,both_share,wgi_government_effectiveness_score,0.006909739271393487,0.0006433085426330017,-0.000264277747767283,0.002125336237281806,0.0012608847435606832,0.028156425241569562,positive,0.14106625435934922
main68,both_share,wgi_regulatory_quality_score,0.005501209009681739,0.0002725587105122895,-0.0004147989294639847,0.0016835579165580185,0.0005342150726040874,0.01936923289711792,positive,0.11231030853168572
main68,augmentation_share,barro_lee_years_schooling_15_64,0.0010970055915422287,6.157929084305033e-05,4.8792579257905915e-06,0.0006923200786539358,0.00012069541005237864,0.002348990104247457,positive,0.07876987196747474
main68,augmentation_share,goods_trade_openness,0.00038927607148036083,5.3571186176889524e-05,-1.4006939018398332e-06,9.88035757661845e-05,0.00010499952490670346,0.0012612505960220392,positive,0.027951750243498375
main68,augmentation_share,gross_fixed_capital_formation_pct_gdp,0.0005602995215463426,7.072625005127107e-05,8.603525864556675e-06,-0.00027503589725243335,0.0001386234501004913,-0.002105127657256398,negative,0.04023199326960205
main68,augmentation_share,internet_users_pct,0.0017894841836052506,8.811690292346399e-05,0.00029534349622202256,0.001077922124336312,0.00017270912972998942,0.005592072744484516,positive,0.12849290934993432
main68,augmentation_share,log_gdp_per_capita,0.003012458084821548,9.388412728557115e-05,-0.00021207779583381556,0.0005752491153898986,0.00018401288947971945,0.012509043327247303,positive,0.2163078652271784
main68,augmentation_share,pwt_human_capital_index,0.0011554876792798136,6.618921726858684e-05,0.00010885177522240921,0.0007095063469710202,0.00012973086584643022,0.005276095262539279,positive,0.08296914551630319
main68,augmentation_share,pwt_log_real_capital_stock_per_worker,0.002460036836181151,6.0147400014328477e-05,-0.00010259709527653871,-0.0009164748306602583,0.00011788890402808382,0.005751275823710552,positive,0.17664156693024619
main68,augmentation_share,wgi_government_effectiveness_score,0.0012179487180255441,0.00011216795420322381,6.703229931050394e-05,0.00047952041690868557,0.00021984919023831866,0.004050033398322517,positive,0.08745412541329699
main68,augmentation_share,wgi_regulatory_quality_score,0.0022447187459764878,0.0001030471038454574,-0.000122311613108106,0.00017806487553796358,0.0002019723235370965,0.007133723505949285,positive,0.1611807720824657
