metric,value
n_pairs,18797.0
jaccard_mean,0.1261370490786335
jaccard_median,0.11363636363636363
jaccard_q25,0.07317073170731707
jaccard_q75,0.17073170731707318
cosine_mean,0.5806205868721008
cosine_median,0.5850701332092285
cosine_q25,0.5012738704681396
cosine_q75,0.670836329460144
high_mentions_country_share,0.41613023354790657
low_mentions_country_share,0.7232005107197957
