iso3,ilostat_year,sex,isco_major,employment_value,employment_share
ARM,2017,SEX_M,8,52.755,0.09957794279199528
ARM,2017,SEX_M,9,42.511,0.08024183349503386
AUS,2024,SEX_F,0,1.301,0.0001885484019399761
AUS,2024,SEX_F,1,692.167,0.10031282223334931
AUS,2024,SEX_F,2,1966.763,0.28503460464617464
AUS,2024,SEX_F,3,1043.857,0.151281759572527
AUS,2024,SEX_F,4,931.436,0.13498906172894973
AUS,2024,SEX_F,5,1610.054,0.23333828496315626
AUS,2024,SEX_F,6,60.06,0.008704240599934639
AUS,2024,SEX_F,7,93.559,0.013559108329824923
AUS,2024,SEX_F,8,126.112,0.018276876299349935
AUS,2024,SEX_F,9,374.776,0.05431469322479361
AUS,2024,SEX_M,0,4.663,0.0006199216742325561
AUS,2024,SEX_M,1,966.783,0.12852878747149332
AUS,2024,SEX_M,2,1592.683,0.2117389474333541
AUS,2024,SEX_M,3,881.287,0.11716253753364501
AUS,2024,SEX_M,4,338.627,0.0450187040060793
AUS,2024,SEX_M,5,780.658,0.10378443370427597
AUS,2024,SEX_M,6,220.814,0.029356076468794262
AUS,2024,SEX_M,7,1302.127,0.17311103364859867
AUS,2024,SEX_M,8,726.604,0.0965982346523852
AUS,2024,SEX_M,9,707.672,0.09408132340714165
AUT,2024,SEX_F,0,0.405,0.00019011540709341711
AUT,2024,SEX_F,1,83.672,0.03927737368474171
AUT,2024,SEX_F,2,544.976,0.2558230471509681
AUT,2024,SEX_F,3,364.478,0.17109353912739378
AUT,2024,SEX_F,4,290.287,0.13626674365167102
AUT,2024,SEX_F,5,515.932,0.2421891906481997
AUT,2024,SEX_F,6,45.765,0.02148304100155613
AUT,2024,SEX_F,7,54.259,0.025470300922177082
AUT,2024,SEX_F,8,30.504,0.014319210809821223
AUT,2024,SEX_F,9,200.007,0.09388743759637797
AUT,2024,SEX_M,0,11.103,0.004707529418348977
AUT,2024,SEX_M,1,147.333,0.06246729999041789
AUT,2024,SEX_M,2,476.372,0.2019756105627073
AUT,2024,SEX_M,3,442.03,0.18741504357316024
AUT,2024,SEX_M,4,137.251,0.05819266146066968
AUT,2024,SEX_M,5,266.424,0.11296035465677814
AUT,2024,SEX_M,6,77.767,0.03297220933772358
AUT,2024,SEX_M,7,450.485,0.19099985499639188
AUT,2024,SEX_M,8,206.559,0.08757836342652854
AUT,2024,SEX_M,9,143.238,0.06073107257727378
BDI,2020,SEX_F,1,3.723,0.0013543579550249845
BDI,2020,SEX_F,2,42.743,0.015549106116474058
BDI,2020,SEX_F,3,7.59,0.002761100424023538
BDI,2020,SEX_F,4,9.591,0.003489026899447925
BDI,2020,SEX_F,5,91.485,0.03328053653383312
BDI,2020,SEX_F,6,2453.485,0.8925320782391819
BDI,2020,SEX_F,7,20.439,0.007435326952123464
BDI,2020,SEX_F,9,119.848,0.04359846687989104
BDI,2020,SEX_M,0,2.304,0.0010450140718583243
BDI,2020,SEX_M,1,7.295,0.003308757662416005
BDI,2020,SEX_M,2,55.282,0.02507398781270481
BDI,2020,SEX_M,3,19.541,0.008863116309975485
BDI,2020,SEX_M,4,7.316,0.003318282530258464
BDI,2020,SEX_M,5,125.059,0.05672240226238289
BDI,2020,SEX_M,6,1617.324,0.7335617789731739
BDI,2020,SEX_M,7,101.977,0.04625321180811473
BDI,2020,SEX_M,8,48.77,0.02212037165127191
BDI,2020,SEX_M,9,219.887,0.09973307691784347
BEL,2024,SEX_F,0,0.969,0.00040668764038907703
BEL,2024,SEX_F,1,137.246,0.05760191113812103
BEL,2024,SEX_F,2,740.503,0.3107878408369791
BEL,2024,SEX_F,3,359.715,0.15097176941440335
BEL,2024,SEX_F,4,323.869,0.1359272646080186
BEL,2024,SEX_F,5,453.462,0.1903172247534692
BEL,2024,SEX_F,6,11.488,0.004821493924447593
BEL,2024,SEX_F,7,26.423,0.01108968784520184
BEL,2024,SEX_F,8,33.275,0.01396546050974875
BEL,2024,SEX_F,9,295.714,0.1241106593292214
BEL,2024,SEX_M,0,19.445,0.007250413510341114
BEL,2024,SEX_M,1,258.174,0.0962647599701109
BEL,2024,SEX_M,2,634.122,0.23644364700460413
BEL,2024,SEX_M,3,372.051,0.13872582139037912
BEL,2024,SEX_M,4,189.085,0.07050369959387244
BEL,2024,SEX_M,5,257.192,0.0958986038339754
BEL,2024,SEX_M,6,45.385,0.016922603094205783
BEL,2024,SEX_M,7,461.106,0.1719315593776986
BEL,2024,SEX_M,8,264.231,0.09852321996662088
BEL,2024,SEX_M,9,181.125,0.06753567225819153
BEN,2022,SEX_F,1,20.684,0.0072931266406802316
BEN,2022,SEX_F,2,31.453,0.011090249092502192
BEN,2022,SEX_F,3,19.361,0.006826640151334847
BEN,2022,SEX_F,4,22.968,0.00809845932523417
BEN,2022,SEX_F,5,1246.161,0.4393932502261032
BEN,2022,SEX_F,6,1041.743,0.36731597495852575
BEN,2022,SEX_F,7,311.147,0.10970965359058847
BEN,2022,SEX_F,9,142.578,0.05027264601503124
BEN,2022,SEX_M,0,7.856,0.003013966450440662
BEN,2022,SEX_M,1,13.584,0.005211522436709006
BEN,2022,SEX_M,2,110.617,0.04243838172713782
BEN,2022,SEX_M,3,56.972,0.02185739519023745
BEN,2022,SEX_M,4,30.86,0.01183948633663427
BEN,2022,SEX_M,5,336.43,0.12907188555521282
BEN,2022,SEX_M,6,1280.406,0.49122972593469016
BEN,2022,SEX_M,7,494.325,0.18964854450281063
BEN,2022,SEX_M,8,196.224,0.0752816385910474
BEN,2022,SEX_M,9,79.258,0.030407453275079682
BFA,2024,SEX_F,1,128.578,0.03304149395720317
BFA,2024,SEX_F,2,155.562,0.03997574144076311
BFA,2024,SEX_F,3,132.538,0.034059119959089376
BFA,2024,SEX_F,4,19.178,0.004928290773781225
BFA,2024,SEX_F,5,810.383,0.2082491950218558
BFA,2024,SEX_F,6,2152.908,0.5532462526436431
BFA,2024,SEX_F,7,294.402,0.07565432580992491
BFA,2024,SEX_F,8,9.842,0.0025291603814555645
BFA,2024,SEX_F,9,188.019,0.04831642001228346
BFA,2024,SEX_M,0,17.665,0.00443220371728035
BFA,2024,SEX_M,1,102.237,0.02565158287254974
BFA,2024,SEX_M,2,255.74,0.06416596539243005
BFA,2024,SEX_M,3,189.672,0.047589297676988315
BFA,2024,SEX_M,4,23.682,0.005941887825226903
BFA,2024,SEX_M,5,445.546,0.11178888408827574
BFA,2024,SEX_M,6,2126.067,0.5334368559630389
BFA,2024,SEX_M,7,397.949,0.09984664800951022
BFA,2024,SEX_M,8,108.32,0.02717782658679918
BFA,2024,SEX_M,9,318.724,0.0799688478679005
BGD,2024,SEX_F,0,1.919,8.394378120059991e-05
BGD,2024,SEX_F,1,55.91,0.0024456992219518193
BGD,2024,SEX_F,2,888.539,0.03886780792298064
BGD,2024,SEX_F,3,126.254,0.005522792158259793
BGD,2024,SEX_F,4,87.517,0.0038283001038733207
BGD,2024,SEX_F,5,544.834,0.023832947413573554
BGD,2024,SEX_F,6,17340.003,0.7585124637049224
BGD,2024,SEX_F,7,2308.931,0.10100072885423782
BGD,2024,SEX_F,8,178.661,0.007815257891130996
BGD,2024,SEX_F,9,1327.97,0.05809005894786903
BGD,2024,SEX_M,0,113.661,0.0024597820196969973
BGD,2024,SEX_M,1,852.297,0.018444891704645323
BGD,2024,SEX_M,2,2198.423,0.04757692935209378
BGD,2024,SEX_M,3,1676.912,0.03629070645352523
BGD,2024,SEX_M,4,596.271,0.012904133208987676
BGD,2024,SEX_M,5,9576.427,0.2072471907474055
BGD,2024,SEX_M,6,11791.888,0.25519284610095627
BGD,2024,SEX_M,7,7855.802,0.17001047421630736
BGD,2024,SEX_M,8,5838.862,0.12636108923106473
BGD,2024,SEX_M,9,5707.21,0.12351195696531704
BHS,2019,SEX_F,1,8.19,0.08075171067421268
BHS,2019,SEX_F,2,14.163,0.1396442586421092
BHS,2019,SEX_F,3,10.064,0.09922896413007039
BHS,2019,SEX_F,4,16.204,0.15976809765139713
