iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
TKM,Turkmenistan,Upper middle income,23822.0,8393.0,3479.0,4186.0,728.0,0.3523213835949962,0.14604147426748385,0.17571992276047352,0.03055998656703887
TUN,Tunisia,Lower middle income,23822.0,12001.0,3702.9999999999995,6568.999999999999,1728.9999999999998,0.5037780203173537,0.15544454705734193,0.2757535051632944,0.07257996809671731
TUR,Turkiye,Upper middle income,23819.0,12660.999999999998,4622.0,6890.999999999999,1148.0,0.5315504429237163,0.19404676938578447,0.2893068558713632,0.048196817666568706
TZA,Tanzania,Lower middle income,23822.0,5520.0,2000.9999999999998,3284.9999999999995,233.99999999999997,0.23171857946436067,0.08399798505583074,0.13789774158341028,0.009822852825119636
UGA,Uganda,Low income,23822.0,4995.999999999999,1780.9999999999998,2979.9999999999995,234.99999999999997,0.20972210561665683,0.07476282428007723,0.12509445050793383,0.009864830828645789
UKR,Ukraine,Upper middle income,23822.0,12070.999999999998,4405.0,6618.999999999999,1047.0,0.5067164805641843,0.18491310553270088,0.27785240533960204,0.043950969691881454
USA,United States,High income,23822.0,13956.0,5233.0,7449.999999999999,1272.9999999999998,0.5858450172109815,0.21967089245235497,0.31273612626983455,0.05343799848879186
UZB,Uzbekistan,Lower middle income,23822.0,9674.0,3532.9999999999995,5582.0,559.0,0.4060952061119973,0.14830828645789604,0.23432121568298211,0.023465703971119134
VEN,"Venezuela, RB",Not classified,23822.0,9626.0,3818.9999999999995,5254.999999999999,552.0,0.404080261942742,0.1603139954663756,0.22059440852993029,0.02317185794643607
VNM,Viet Nam,Lower middle income,23822.0,11546.999999999998,4101.0,6585.0,860.9999999999999,0.48472000671648047,0.17215179246075057,0.2764251532197129,0.036143061036017124
YEM,"Yemen, Rep.",Low income,23822.0,3686.0,1923.9999999999998,1689.9999999999998,72.0,0.15473092099739735,0.08076567878431701,0.07094282595919738,0.0030224162538829654
ZAF,South Africa,Upper middle income,23822.0,12202.0,4473.0,6805.999999999999,923.0,0.5122155990261104,0.18776760977247922,0.2857022919989925,0.03874569725463857
ZMB,Zambia,Lower middle income,23821.0,6304.0,2277.0,3661.9999999999995,364.99999999999994,0.26464044330632636,0.09558792661936946,0.15372990218714577,0.015322614499811088
ZWE,Zimbabwe,Lower middle income,23822.0,7552.999999999999,2391.9999999999995,4228.0,933.0,0.31705986063302827,0.10041138443455627,0.17748299890857192,0.039165477289900094
