iso3,ilostat_year,isco_major,employment_value,employment_share,country_name,income_level,isco_major_label,exposed_share,sub_only_share,both_share,aug_only_share,matched_weight,weight_norm,exposed_share_contribution,sub_only_share_contribution,both_share_contribution,aug_only_share_contribution
AFG,2021,1,131.611,0.017718335665738414,Afghanistan,Low income,Managers,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,0.9717650416568221,0.018233147835334074,0.002465342417436596,0.0009538612535022261,0.0014390258332617311,7.245533067263848e-05
AFG,2021,2,390.721,0.052601422598817574,Afghanistan,Low income,Professionals,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,0.9717650416568221,0.05412977452773375,0.006596000638689348,0.0018223199366733788,0.004297049722399155,0.00047663097961681325
AFG,2021,3,93.89,0.012640087345709553,Afghanistan,Low income,Technicians,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,0.9717650416568221,0.013007349311680001,0.0019812268834405147,0.0009621301236125765,0.000953858679795186,6.523808003275241e-05
AFG,2021,4,10.996,0.00148035361011207,Afghanistan,Low income,Clerical support,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,0.9717650416568221,0.0015233657794358644,0.000537219898292609,0.0003737620798374808,0.00016111913895469363,2.33867950043467e-06
AFG,2021,5,831.191,0.11190038173359963,Afghanistan,Low income,Service and sales,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,0.9717650416568221,0.11515168475582717,0.011541172857156255,0.007329682717700094,0.004106553008312657,0.0001049371311435027
AFG,2021,6,3645.717,0.4908103239720758,Afghanistan,Low income,Skilled agriculture,0.06519223087799607,0.03004996606032685,0.028643491301886655,0.006498773515782561,0.9717650416568221,0.5050709821123665,0.032926704075645616,0.015177365870532561,0.014466996282970919,0.0032823419221421346
AFG,2021,7,742.924,0.10001729951244992,Afghanistan,Low income,Craft and trades,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,0.9717650416568221,0.1029233356058212,0.009597304270475797,0.006615994909103662,0.002898506587468996,8.280277390313852e-05
AFG,2021,8,366.358,0.04932151581424497,Afghanistan,Low income,Plant and machine operators,0.131250742114476,0.10468584882432513,0.02490096693408903,0.0016639263560618283,0.9717650416568221,0.05075456895439836,0.006661574840965128,0.005313285132703932,0.001263837843287415,8.445186497378086e-05
AFG,2021,9,1004.819,0.1352753214040742,Afghanistan,Low income,Elementary occupations,0.11040611266289703,0.08107783158311653,0.02735889034338392,0.0019693907363965823,0.9717650416568221,0.1392057911174032,0.015369170257435727,0.011286503687611315,0.003808515974345041,0.0002741505954793715
AGO,2024,1,141.516,0.011325224802303137,Angola,Lower middle income,Managers,0.30869976998546494,0.07776728987293412,0.21634217132652744,0.014590308786003398,0.9889893647755386,0.011451311010683633,0.0035350170750300595,0.0008905374227929563,0.0024774014885866687,0.00016707816365043487
AGO,2024,2,626.096,0.05010513261979412,Angola,Lower middle income,Professionals,0.2547567983943367,0.05267942139315711,0.1826851382651243,0.019392238736055237,0.9889893647755386,0.05066296403618658,0.012906734515026315,0.0026688956314886367,0.009255370589871765,0.0009824682936659108
AGO,2024,3,331.06,0.026494028399972277,Angola,Lower middle income,Technicians,0.3284483095627279,0.12268700607973085,0.19319127931261001,0.012570024170387058,0.9889893647755386,0.026788992221352524,0.008798799209992304,0.0032866612515309395,0.005175399678738653,0.0003367382797227121
AGO,2024,4,92.507,0.00740313866125849,Angola,Lower middle income,Clerical support,0.6173217381846395,0.38391817866402844,0.22806668113055326,0.005336878390057942,0.9889893647755386,0.007485559425544186,0.0046209985558613486,0.002873842340936275,0.0017072066945893933,3.994952033568131e-05
AGO,2024,5,3254.418,0.2604441579090829,Angola,Lower middle income,Service and sales,0.21831893771381647,0.10546192322299236,0.11180498809266577,0.0010520263981583383,0.9889893647755386,0.26334373976629505,0.05749292551936126,0.02777273726448869,0.02944314368884869,0.0002770445660238821
AGO,2024,6,5845.529,0.4678052659302288,Angola,Lower middle income,Skilled agriculture,0.20683947719017082,0.06058166310116309,0.13050784533311116,0.01574996875589656,0.9889893647755386,0.47301344442303694,0.09783785354838288,0.028655941132357157,0.061731965445243876,0.007449946970781846
AGO,2024,7,832.909,0.0666559375961835,Angola,Lower middle income,Craft and trades,0.23337378406341502,0.12602420553460766,0.1044063195312514,0.002943258997555983,0.9889893647755386,0.06739803274963606,0.01572893394121254,0.008493783531868353,0.007036780543036249,0.00019836986630793915
AGO,2024,8,567.846,0.04544350888301413,Angola,Lower middle income,Plant and machine operators,0.34775328427096847,0.22394108846953015,0.11925714886960134,0.004555046931837006,0.9889893647755386,0.045949441421271504,0.015979069164663642,0.010289967926446455,0.005479799376051602,0.000209301862165587
AGO,2024,9,666.18,0.05331296997370123,Angola,Lower middle income,Elementary occupations,0.25715419530715045,0.16194143508390618,0.09396375835796403,0.0012490018652802292,0.9889893647755386,0.05390651494599354,0.013862286472749848,0.008729698390726232,0.005065258744305314,6.732933771830249e-05
ARE,2024,1,745.954,0.08087059419159381,United Arab Emirates,High income,Managers,0.6083510202401773,0.1459017032598656,0.3840263085579686,0.07842300842234307,1.0,0.08087059419159381,0.04919770848388545,0.011799157436190932,0.03105643575828727,0.00634211528940725
ARE,2024,2,1266.709,0.13732684521812286,United Arab Emirates,High income,Professionals,0.5046160376119726,0.09414535969136323,0.3282783661792547,0.08219231174135476,1.0,0.13732684521812286,0.06929732849172182,0.012928685238340341,0.04508143238075677,0.011287210872624727
ARE,2024,3,1096.729,0.1188989212433374,United Arab Emirates,High income,Technicians,0.6000979744575425,0.2103228276720714,0.341344120604955,0.04843102618051616,1.0,0.1188989212433374,0.07135100180331365,0.02500715732305764,0.040585447712684804,0.005758396767571203
ARE,2024,4,556.091,0.06028710831310992,United Arab Emirates,High income,Clerical support,0.8467167645115034,0.5539954685424673,0.27222270382090996,0.020498592148126087,1.0,0.06028710831310992,0.05104610529263099,0.0333987848169918,0.01641151963053884,0.001235800845100342
ARE,2024,5,1323.606,0.14349518025985344,United Arab Emirates,High income,Service and sales,0.4700594903117764,0.21300771767186233,0.23918131644714438,0.017870456192769637,1.0,0.14349518025985344,0.0674512712951432,0.030565580844063855,0.03432136611837203,0.0025643243327072933
ARE,2024,6,96.935,0.010508946996680958,United Arab Emirates,High income,Skilled agriculture,0.5231903129393064,0.17932861526950386,0.29130315275466806,0.05255854491513448,1.0,0.010508946996680958,0.005498179267856095,0.0018845549128554077,0.0030612893922648634,0.0005523349627358237
ARE,2024,7,1670.005,0.1810490950553689,United Arab Emirates,High income,Craft and trades,0.5057375907283784,0.26797102582584903,0.22474549697802224,0.01302106792450719,1.0,0.1810490950553689,0.09156333313685544,0.048515911726828856,0.04068996884564007,0.0023574525643865175
ARE,2024,8,937.116,0.10159490765710705,United Arab Emirates,High income,Plant and machine operators,0.6491840973379808,0.4155039610046504,0.22407068672624053,0.009609449607089864,1.0,0.10159490765710705,0.06595379842151455,0.042213086549429665,0.02276444072661697,0.0009762711454679183
ARE,2024,9,1530.9,0.1659684010648257,United Arab Emirates,High income,Elementary occupations,0.5792423930635816,0.38968017027075297,0.18501482714643286,0.004547395646395795,1.0,0.1659684010648257,0.09613593380572592,0.06467459478650589,0.03070661503477857,0.0007547239844414595
ARG,2024,1,598.43,0.0491928065703301,Argentina,Upper middle income,Managers,0.5572532983744791,0.1312792657687802,0.3634496849083513,0.06252434769734753,1.0,0.0491928065703301,0.027412853717614198,0.006457995527658563,0.017879110047743948,0.0030757481422116813
ARG,2024,2,1316.136,0.10819047118000097,Argentina,Upper middle income,Professionals,0.471860143293923,0.08216110226172108,0.3186000156778327,0.07109902535436921,1.0,0.10819047118000097,0.0510507712340323,0.008889048366363846,0.034469485814140416,0.00769223705352804
ARG,2024,3,1281.158,0.10531517083039114,Argentina,Upper middle income,Technicians,0.5569591495207391,0.18813474992679566,0.32276033082715305,0.046064068766790416,1.0,0.10531517083039114,0.058656247977326,0.019813443327673402,0.03399155937833519,0.004851245271317418
ARG,2024,4,1429.171,0.11748229961553606,Argentina,Upper middle income,Clerical support,0.8023990208821233,0.5260997271308879,0.2629673256988541,0.013331968052381377,1.0,0.11748229961553606,0.09426768218248639,0.06180740577044274,0.030894006146849035,0.0015662702651946237
ARG,2024,5,3173.157,0.26084337101797866,Argentina,Upper middle income,Service and sales,0.4108198695240652,0.17656778517325245,0.2131119853485861,0.02114009900222666,1.0,0.26084337101797866,0.10715963964782332,0.04605653629776944,0.05558884866265928,0.005514254687394609
ARG,2024,6,28.808,0.002368107166549253,Argentina,Upper middle income,Skilled agriculture,0.522595449714964,0.1547950509340149,0.30074491660479113,0.06705548217615794,1.0,0.002368107166549253,0.001237562029676036,0.00036657126946319736,0.0007121961923150633,0.0001587945678977753
