iso3,ilostat_year,sex,isco_major,employment_value,employment_share,country_name,income_level,isco_major_label,exposed_share,sub_only_share,both_share,aug_only_share,matched_weight,weight_norm,exposed_share_contribution,sub_only_share_contribution,both_share_contribution,aug_only_share_contribution
AFG,2020,SEX_F,1,3.679,0.0033228022449462527,Afghanistan,Low income,Managers,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,0.999337065276491,0.0033250065072157795,0.0004495811504695985,0.00017394664396510066,0.0002624215139842416,1.3212992520256164e-05
AFG,2020,SEX_F,2,59.734,0.05395060323447118,Afghanistan,Low income,Professionals,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,0.999337065276491,0.05398639268878156,0.006578528799769706,0.0018174928782575786,0.004285667467500773,0.0004753684540113532
AFG,2020,SEX_F,3,3.805,0.003436603028545934,Afghanistan,Low income,Technicians,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,0.999337065276491,0.0034388827833530962,0.0005237967287664022,0.00025436794524043863,0.0002521811410687728,1.7247642457190813e-05
AFG,2020,SEX_F,4,6.287,0.005678297829295214,Afghanistan,Low income,Clerical support,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,0.999337065276491,0.005682064667264367,0.0020037985911500553,0.0013941105520922626,0.0006009649022137994,8.723136843993142e-06
AFG,2020,SEX_F,5,132.7,0.11985209510855334,Afghanistan,Low income,Service and sales,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,0.999337065276491,0.11993160193192007,0.012020244010037382,0.007633935984961762,0.0042770149802811245,0.00010929304479449563
AFG,2020,SEX_F,6,596.809,0.5390264433281131,Afghanistan,Low income,Skilled agriculture,0.06519223087799607,0.03004996606032685,0.028643491301886655,0.006498773515782561,0.999337065276491,0.5393840197240941,0.035163647545754725,0.016208471486191697,0.01544984147734375,0.003505334582219281
AFG,2020,SEX_F,7,285.32,0.257695552195723,Afghanistan,Low income,Craft and trades,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,0.999337065276491,0.2578665008531683,0.02404530765820604,0.016575866365299233,0.00726198531179565,0.0002074559811111556
AFG,2020,SEX_F,8,1.135,0.0010251102332193523,Afghanistan,Low income,Plant and machine operators,0.131250742114476,0.10468584882432513,0.02490096693408903,0.0016639263560618283,0.999337065276491,0.0010257902652051943,0.0001346357335619869,0.00010738572462873536,2.554316947518496e-05,1.7068394580665754e-06
AFG,2020,SEX_F,9,16.995,0.015349558073623693,Afghanistan,Low income,Elementary occupations,0.11040611266289703,0.08107783158311653,0.02735889034338392,0.0019693907363965823,0.999337065276491,0.0153597405789976,0.0016958092488376802,0.0012453344598243282,0.00042022545820361956,3.024933080973255e-05
AFG,2020,SEX_M,1,71.549,0.01498558389719432,Afghanistan,Low income,Managers,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,0.9642910850552162,0.015540518967191564,0.0021012663827882218,0.0008129972419460101,0.0012265138448965378,6.175529594567367e-05
AFG,2020,SEX_M,2,182.575,0.03823943004137378,Afghanistan,Low income,Professionals,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,0.9642910850552162,0.03965548435945994,0.004832231474168017,0.0013350319741246613,0.0031480195427585787,0.0003491799572847756
AFG,2020,SEX_M,3,79.933,0.016741571198122036,Afghanistan,Low income,Technicians,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,0.9642910850552162,0.017361532692344032,0.00264443850038811,0.0012842012000392178,0.0012731609074471246,8.707639290176786e-05
AFG,2020,SEX_M,4,93.229,0.01952635258566198,Afghanistan,Low income,Clerical support,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,0.9642910850552162,0.02024943804654575,0.0071410302073848,0.004968256594696465,0.0021416865643286713,3.108704835966299e-05
AFG,2020,SEX_M,5,699.34,0.14647330141111511,Afghanistan,Low income,Service and sales,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,0.9642910850552162,0.15189739247950002,0.015224041809501212,0.009668635720628123,0.005416982785481768,0.00013842330339131905
AFG,2020,SEX_M,6,2084.399,0.4365670532044884,Afghanistan,Low income,Skilled agriculture,0.06519223087799607,0.03004996606032685,0.028643491301886655,0.006498773515782561,0.9642910850552162,0.4527336817383209,0.02951471870612981,0.01360463177060336,0.012967873274942716,0.002942213660583731
AFG,2020,SEX_M,7,517.903,0.10847221983687584,Afghanistan,Low income,Craft and trades,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,0.9642910850552162,0.11248908293149326,0.010489282626196446,0.007230888851627993,0.0031678952686103818,9.049850595806987e-05
AFG,2020,SEX_M,8,406.213,0.08507930217935955,Afghanistan,Low income,Plant and machine operators,0.131250742114476,0.10468584882432513,0.02490096693408903,0.0016639263560618283,0.9642910850552162,0.08822989603236644,0.011580239330931157,0.009236421557830238,0.0021970097237000697,0.00014680804940084947
AFG,2020,SEX_M,9,468.888,0.09820627070102517,Afghanistan,Low income,Elementary occupations,0.11040611266289703,0.08107783158311653,0.02735889034338392,0.0019693907363965823,0.9642910850552162,0.10184297275277805,0.011244086723667565,0.008257207392773665,0.002786310723787491,0.00020056860710641064
AGO,2024,SEX_F,1,31.113,0.004886964309751828,Angola,Lower middle income,Managers,0.30869976998546494,0.07776728987293412,0.21634217132652744,0.014590308786003398,0.9992638060707804,0.004890564713804587,0.001509716202250507,0.0003803259637407844,0.0010580353891973815,7.135484931234125e-05
AGO,2024,SEX_F,2,245.379,0.03854203758437289,Angola,Lower middle income,Professionals,0.2547567983943367,0.05267942139315711,0.1826851382651243,0.019392238736055237,0.9992638060707804,0.0385704329029234,0.009826079999032346,0.0020318680882095938,0.007046244867816261,0.0007479670430064905
AGO,2024,SEX_F,3,90.985,0.01429114671432424,Angola,Lower middle income,Technicians,0.3284483095627279,0.12268700607973085,0.19319127931261001,0.012570024170387058,0.9992638060707804,0.014301675521020484,0.004697361148793824,0.001754629751597778,0.0027629589902197858,0.0001797724069762604
AGO,2024,SEX_F,4,24.114,0.0037876211668870117,Angola,Lower middle income,Clerical support,0.6173217381846395,0.38391817866402844,0.22806668113055326,0.005336878390057942,0.9992638060707804,0.003790411644929252,0.0023399035050830244,0.0014552079351081626,0.0008644666039776156,2.02289659972469e-05
AGO,2024,SEX_F,5,2250.143,0.3534332443942374,Angola,Lower middle income,Service and sales,0.21831893771381647,0.10546192322299236,0.11180498809266577,0.0010520263981583383,0.9992638060707804,0.35369363149855026,0.07721801790490555,0.03730121060956146,0.039544712258147124,0.00037209503719696244
AGO,2024,SEX_F,6,3207.046,0.5037353949067066,Angola,Lower middle income,Skilled agriculture,0.20683947719017082,0.06058166310116309,0.13050784533311116,0.01574996875589656,0.9992638060707804,0.5041065150627759,0.10426912802374354,0.03053961106263449,0.06578985509922643,0.00793966186188262
AGO,2024,SEX_F,7,48.763,0.007659275564440214,Angola,Lower middle income,Craft and trades,0.23337378406341502,0.12602420553460766,0.1044063195312514,0.002943258997555983,0.9992638060707804,0.007664918430856975,0.0017887910187465055,0.0009659652557363218,0.0008002659228730314,2.2559840137152476e-05
AGO,2024,SEX_F,8,7.779,0.001221858881032349,Angola,Lower middle income,Plant and machine operators,0.34775328427096847,0.22394108846953015,0.11925714886960134,0.004555046931837006,0.9992638060707804,0.0012227590688357241,0.0004252184820597343,0.0002738259968110612,0.00014582276030379707,5.56972494487604e-06
