spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,mean_abs_shap_ci,median_ale_delta,direction_flag,mean_abs_shap_share,mean_abs_shap_pp,ci95_pp,variable_label
main68,share_exposed,barro_lee_years_schooling_15_64,0.0126189112605616,0.0013961945396046,0.00014121666389,0.0075379881460942,0.002736541297625,0.0377097426508275,positive,0.1289287604604281,1.26189112605616,0.27365412976250003,Years of schooling
main68,share_exposed,goods_trade_openness,0.0010242026345054,9.836681472220651e-05,0.0001920074196873,0.0006453878000837,0.0001927989568555,0.0032993403579732,positive,0.0104643874103297,0.10242026345053999,0.01927989568555,"Goods trade (%
GDP)"
main68,share_exposed,gross_fixed_capital_formation_pct_gdp,0.0004199742939209,6.989039155818895e-05,-0.0001097103882306,-0.0002149433278783,0.000136985167454,0.0007405395957546,positive,0.0042909220948169,0.041997429392089995,0.0136985167454,Investment (% GDP)
main68,share_exposed,internet_users_pct,0.021146669162319,0.0010852116743522,0.0004960850540054,0.0161883702989155,0.0021270148817304,0.0655901066385176,positive,0.2160577712821803,2.1146669162319,0.21270148817304,Internet users (%)
main68,share_exposed,log_gdp_per_capita,0.030112956085299,0.0009226048153974,0.0002450386362373,0.0194943258523195,0.0018083054381789,0.1142759019932286,positive,0.3076672798239575,3.0112956085299,0.18083054381789,Log GDP per capita
main68,share_exposed,pwt_human_capital_index,0.0087506621020593,0.0006971025114002,0.0006934751523021,0.0045476762014812,0.0013663209223444,0.0504016763943624,positive,0.089406446779018,0.87506621020593,0.13663209223444,Human capital
main68,share_exposed,pwt_log_real_capital_stock_per_worker,0.0009736297706475,7.206626282899903e-05,-0.0003238075246544,-0.0005424461528187,0.0001412498751448,-0.0011840156715072,negative,0.0099476790734934,0.09736297706475,0.01412498751448,Capital intensity
main68,share_exposed,wgi_government_effectiveness_score,0.012184852307904,0.0011513281870817,-0.0006951176888261,0.0010813604955798,0.0022566032466801,0.0473003676771806,positive,0.1244939339070634,1.2184852307904,0.22566032466801003,"Government
effectiveness"
main68,share_exposed,wgi_regulatory_quality_score,0.0106432108740737,0.0006023484531022,-0.0009235007802442,0.0013481211735517,0.0011806029680803,0.0326177697676075,positive,0.1087428191687124,1.06432108740737,0.11806029680803,Regulatory quality
main68,substitution_within_exposed,barro_lee_years_schooling_15_64,0.0013032428727333,0.0001240255649071,-4.805873769419983e-06,0.000469550498581,0.0002430901072179,0.0045233977821009,positive,0.0727409079954114,0.13032428727332998,0.02430901072179,Years of schooling
main68,substitution_within_exposed,goods_trade_openness,0.0006134896790269,5.6847942812732466e-05,3.755927761623752e-05,-5.781487053968647e-05,0.0001114219679129,-0.0028218280694754,negative,0.0342421180517508,0.061348967902689996,0.01114219679129,"Goods trade (%
GDP)"
main68,substitution_within_exposed,gross_fixed_capital_formation_pct_gdp,0.0011219954137772,0.0001051297051102,3.1359874473993844e-05,0.0004160122386644,0.0002060542220161,0.0044812116384178,positive,0.0626245244630952,0.11219954137772,0.02060542220161,Investment (% GDP)
main68,substitution_within_exposed,internet_users_pct,0.0026740978866013,3.83070381582695e-05,-0.000169808266526,0.0006061034395952,7.508179479020821e-05,-0.0020992699414155,negative,0.1492556087661773,0.26740978866013,0.0075081794790208215,Internet users (%)
main68,substitution_within_exposed,log_gdp_per_capita,0.0027522281593025,0.0001954113460906,0.0003098660876798,0.0010702673585362,0.0003830062383376,-0.0078900806222682,negative,0.1536164743401402,0.27522281593025,0.03830062383376,Log GDP per capita
