iso3,country_name,income_level,internet_users_pct,log_gdp_per_capita,prep_internet,pizzinelli_mechanical,atlas_ai_mat_mean,atlas_pred_from_mech,residual
AFG,Afghanistan,Low income,17.7089,5.996915275643621,0.177089,0.11131893006419967,0.04769860810048935,0.04116677118060318,0.0065318369198861664
DZA,Algeria,Upper middle income,76.9081,8.65747513187585,0.769081,0.48344772432338967,0.25475066026658455,0.31705503594650364,-0.06230437567991909
AGO,Angola,Lower middle income,44.7581,7.888287405769062,0.447581,0.2813513997880419,0.1326380389443508,0.16722517824194513,-0.03458713929759433
ARG,Argentina,Upper middle income,89.6672,9.544651966116334,0.8966719999999999,0.5636519922667474,0.36212228196247154,0.3765167509523584,-0.014394468989886888
AUS,Australia,High income,97.0631,11.076031384939432,0.970631,0.6101429473719101,0.4413731069097038,0.41098414269721517,0.030388964212488656
AUT,Austria,High income,94.9197,10.972823417891926,0.9491970000000001,0.596669439999933,0.4247242717186203,0.40099517482772995,0.023729096890890367
AZE,Azerbaijan,Upper middle income,89.0,8.893414834871592,0.89,0.559457943503762,0.36665400605160253,0.37340737362543835,-0.006753367573835822
BGD,Bangladesh,Lower middle income,44.5027,7.860731249643073,0.44502699999999995,0.2797459440715154,0.18438105425796847,0.16603492798820502,0.018346126269763452
BLR,Belarus,Upper middle income,94.2618,9.026133118269371,0.942618,0.5925338514490215,0.38133240966898513,0.3979291386416077,-0.0165967289726226
BEL,Belgium,High income,95.7758,10.94402161534754,0.957758,0.6020509225328945,0.4327417915827751,0.4049848899499966,0.027756901632778497
BEN,Benin,Lower middle income,32.2083,7.3034260378979345,0.322083,0.20246280091856425,0.11511531419206732,0.10873887192092901,0.006376442271138302
BOL,Bolivia,Lower middle income,70.2368,8.394158763557042,0.702368,0.4415116369245509,0.2003929271267011,0.2859645249137067,-0.08557159778700563
BRA,Brazil,Upper middle income,84.4635,9.24092281301553,0.8446349999999999,0.5309413034958427,0.3925038419646579,0.3522657515577329,0.040238090406925
BGR,Bulgaria,High income,82.439,9.77542786941698,0.82439,0.5182152067922093,0.4469678485121415,0.3428308978431799,0.10413695066896161
BFA,Burkina Faso,Low income,17.0226,6.889583823366252,0.17022600000000002,0.10700481785491169,0.058304191733691314,0.03796838140322719,0.020335810330464124
BDI,Burundi,Low income,11.0784,5.391009717748471,0.11078400000000001,0.06963931327316941,0.03345236278474808,0.010266401926790597,0.02318596085795748
KHM,Cambodia,Lower middle income,60.7171,7.873932601373377,0.607171,0.3816703809158682,0.1868242836113754,0.24159950791868073,-0.05477522430730533
CMR,Cameroon,Lower middle income,41.9088,7.5120758014793365,0.419088,0.2634405737383198,0.10926226708871778,0.1539464779757679,-0.04468421088705013
CAN,Canada,High income,93.9564,10.903022281974831,0.9395640000000001,0.5906140935170434,0.4340019619295174,0.3965058715018574,0.03749609042766
TCD,Chad,Low income,13.1832,6.8685567114337,0.131832,0.08287017933481793,0.03358149624254918,0.02007548076027596,0.013506015482273218
CHL,Chile,High income,94.4574,9.723756002610662,0.944574,0.5937634017158679,0.3876580221045167,0.39884070069967964,-0.01118267859516292
CHN,China,Upper middle income,92.0,9.495755989537386,0.92,0.5783160764308551,0.4762560790955919,0.38738838678605036,0.08886769230954156
COL,Colombia,Upper middle income,77.3369,8.977046589447056,0.773369,0.48614318012310215,0.34203455057769827,0.3190533887609271,0.02298116181677118
COD,"Congo, Dem. Rep.",Low income,30.548,6.476023202666871,0.30548,0.19202608155228,0.03771170196259542,0.1010013132040743,-0.06328961124147887
COG,"Congo, Rep.",Lower middle income,38.3791,7.816920280976811,0.383791,0.24125272314073293,0.08337127600946703,0.13749688392476384,-0.0541256079152968
CRI,Costa Rica,High income,85.3951,9.830225933989029,0.853951,0.536797382374136,0.44480983953134823,0.35660732217787494,0.08820251735347329
CIV,Cote d'Ivoire,Lower middle income,40.6528,7.911284986702229,0.406528,0.2555453020861768,0.1451854711989537,0.14809309379919167,-0.002907622600237969
HRV,Croatia,High income,83.6324,10.087908561990972,0.8363240000000001,0.5257169720706071,0.44961530858168886,0.34839254487847143,0.10122276370321742
CUB,Cuba,Upper middle income,71.275,9.187812761100533,0.7127500000000001,0.448037808126187,0.154618066455924,0.29080288753482253,-0.13618482107889854
CZE,Czechia,High income,87.6878,10.367954250890413,0.8768779999999999,0.5512093961614515,0.41223577572779474,0.36729207846898665,0.04494369725880809
DNK,Denmark,High income,99.7692,11.170808089674908,0.997692,0.627153611876579,0.45133963576258995,0.42359548260185925,0.0277441531607307
DOM,Dominican Republic,Upper middle income,91.0022,9.294282713351855,0.910022,0.572043861419304,0.3266386205770631,0.3827383018088308,-0.05609968123176767
ECU,Ecuador,Upper middle income,77.1727,8.83560412013018,0.771727,0.48511101164755926,0.34834092766302266,0.3182881613072696,0.030052766355753047
EGY,"Egypt, Arab Rep.",Lower middle income,72.6899,8.113269009658703,0.726899,0.4569319322190349,0.31127609542268814,0.2973967993751391,0.013879296047549061
SLV,El Salvador,Upper middle income,67.6558,8.626883066356116,0.676558,0.4252873565629418,0.290809843568526,0.27393619325786017,0.016873650310665844
ETH,Ethiopia,Not classified,16.6981,7.033403125169596,0.166981,0.1049649964766311,0.09147208557231946,0.03645610181302098,0.05501598375929848
FIN,Finland,High income,93.5139,10.880869003579974,0.935139,0.5878325189102972,0.4368008261949958,0.39444367206066716,0.04235715413432861
FRA,France,High income,88.6538,10.738635126651346,0.886538,0.5572817149639755,0.4354632178383657,0.37179396470670373,0.063669253131662
DEU,Germany,High income,93.5,10.934957619034957,0.935,0.5877451428944017,0.44458921880967933,0.3943788933663564,0.050210325443322934
GHA,Ghana,Lower middle income,69.9445,7.779371762812391,0.6994450000000001,0.4396742261730212,0.1470029821134281,0.2846023081980911,-0.13759932608466302
