support,domain,iso3,country_name,income_level,margin,total_gap_pp,reference_profile_pp,country_specific_pp,identity_error_pp
Common female-male cells,Occupation (ISCO-2),CHE,Switzerland,High income,Substitution-only,3.5053637227437764,2.4731369642591132,1.0322267584846632,0
Common female-male cells,Occupation (ISCO-2),CHL,Chile,High income,Augmentation-only,-0.14737699192796938,-0.27512057780644184,0.1277435858784725,-5.551115123125783e-17
Common female-male cells,Occupation (ISCO-2),CHL,Chile,High income,Overall exposure,0.4724425690891537,-0.19020437099789542,0.6626469400870459,3.219646771412954e-15
Common female-male cells,Occupation (ISCO-2),CHL,Chile,High income,Substitution-only,2.1826960917747837,1.1540692999394262,1.0286267918353589,-1.3322676295501878e-15
Common female-male cells,Occupation (ISCO-2),CIV,Cote d'Ivoire,Lower middle income,Augmentation-only,-0.3491172850728145,-0.8603212317264346,0.5112039466536201,0
Common female-male cells,Occupation (ISCO-2),CIV,Cote d'Ivoire,Lower middle income,Overall exposure,5.45288608063545,3.290454075197472,2.162432005437978,0
Common female-male cells,Occupation (ISCO-2),CIV,Cote d'Ivoire,Lower middle income,Substitution-only,4.280167384415244,4.8075991968818546,-0.5274318124666084,-1.9984014443252818e-15
Common female-male cells,Occupation (ISCO-2),COD,"Congo, Dem. Rep.",Low income,Augmentation-only,-0.07496748319404786,-0.21150393131742992,0.13653644812338234,-2.7755575615628914e-16
Common female-male cells,Occupation (ISCO-2),COD,"Congo, Dem. Rep.",Low income,Overall exposure,0.04260620525771999,0.2893931744958915,-0.2467869692381711,-4.440892098500626e-16
Common female-male cells,Occupation (ISCO-2),COD,"Congo, Dem. Rep.",Low income,Substitution-only,0.05941267906487616,0.44716240131276286,-0.38774972224788656,-1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),COL,Colombia,Upper middle income,Augmentation-only,-0.30932700537513874,-0.2888401669943889,-0.02048683838074989,6.245004513516506e-17
Common female-male cells,Occupation (ISCO-2),COL,Colombia,Upper middle income,Overall exposure,2.8064371418738983,1.7440053258904533,1.0624318159834447,2.220446049250313e-16
Common female-male cells,Occupation (ISCO-2),COL,Colombia,Upper middle income,Substitution-only,3.0961476970676176,2.589934517343873,0.5062131797237426,1.9984014443252818e-15
Common female-male cells,Occupation (ISCO-2),CRI,Costa Rica,High income,Augmentation-only,-0.29325882739785625,-0.18657728905808246,-0.10668153833977399,2.0816681711721685e-16
Common female-male cells,Occupation (ISCO-2),CRI,Costa Rica,High income,Overall exposure,1.9261880103062532,0.004043305878180359,1.9221447044280706,2.220446049250313e-15
Common female-male cells,Occupation (ISCO-2),CRI,Costa Rica,High income,Substitution-only,3.4034455724942134,1.5613122577866583,1.8421333147075551,0
Common female-male cells,Occupation (ISCO-2),CZE,Czechia,High income,Augmentation-only,-0.5134220594533341,-0.3584161675469821,-0.15500589190635208,8.326672684688674e-17
Common female-male cells,Occupation (ISCO-2),CZE,Czechia,High income,Overall exposure,1.3416460531885068,1.1734824088700133,0.16816364431848824,5.2735593669694936e-15
Common female-male cells,Occupation (ISCO-2),CZE,Czechia,High income,Substitution-only,2.4560951319250064,2.4393584055038926,0.016736726421114602,-8.118505867571457e-16
Common female-male cells,Occupation (ISCO-2),DEU,Germany,High income,Augmentation-only,-0.652152460676812,-0.5800552657538893,-0.07209719492292249,-1.6653345369377348e-16
Common female-male cells,Occupation (ISCO-2),DEU,Germany,High income,Overall exposure,-0.870809024833602,-0.018521353259715462,-0.8522876715738842,-2.3314683517128287e-15
Common female-male cells,Occupation (ISCO-2),DEU,Germany,High income,Substitution-only,3.408775073260695,2.6684088240877415,0.7403662491729568,-3.1086244689504383e-15
Common female-male cells,Occupation (ISCO-2),DNK,Denmark,High income,Augmentation-only,0.19160166901753464,-0.29449038735910216,0.48609205637663666,1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),DNK,Denmark,High income,Overall exposure,-3.135098092096995,-1.9882433027648374,-1.1468547893321592,1.5543122344752192e-15
Common female-male cells,Occupation (ISCO-2),DNK,Denmark,High income,Substitution-only,-0.2217627161069755,0.2601180644637924,-0.481880780570768,1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),DOM,Dominican Republic,Upper middle income,Augmentation-only,-0.06532790669396665,-0.21526069730851974,0.14993279061455309,0
Common female-male cells,Occupation (ISCO-2),DOM,Dominican Republic,Upper middle income,Overall exposure,6.689396677254414,3.3486651580641458,3.34073151919027,-1.7763568394002505e-15
Common female-male cells,Occupation (ISCO-2),DOM,Dominican Republic,Upper middle income,Substitution-only,5.847135050672006,4.006619092189511,1.8405159584824944,6.661338147750939e-16
Common female-male cells,Occupation (ISCO-2),ECU,Ecuador,Upper middle income,Augmentation-only,-0.42316876443997076,-0.37710272352798774,-0.046066040911983,-2.0816681711721685e-17
Common female-male cells,Occupation (ISCO-2),ECU,Ecuador,Upper middle income,Overall exposure,1.2759172533422747,0.4318549929586578,0.8440622603836159,9.992007221626409e-16
Common female-male cells,Occupation (ISCO-2),ECU,Ecuador,Upper middle income,Substitution-only,1.7818140061393417,1.8564233755750337,-0.07460936943569249,5.273559366969494e-16
Common female-male cells,Occupation (ISCO-2),EGY,"Egypt, Arab Rep.",Lower middle income,Augmentation-only,0.5443900410614121,0.7908050396476284,-0.24641499858621577,-5.273559366969494e-16
