spec,outcome,n,n_random_states,mean_train_r2,sd_train_r2,mean_oob_r2,sd_oob_r2
main68,share_exposed,68,5,0.929813683984419,0.0016211140909928553,0.8565115731112775,0.0025071751095404743
main68,substitution_share,68,5,0.9341433249575516,0.0004753039693178004,0.8616331479996981,0.0021827644086065347
main68,both_share,68,5,0.924252633550313,0.0016268410148145757,0.8478548296071116,0.002390999492962995
main68,augmentation_share,68,5,0.7867603613480935,0.002013397326102007,0.5068992666261509,0.010975302375883487
main68,substitution_within_exposed,68,5,0.5668405120235754,0.004770516329635221,0.16985962118196268,0.0017771004025404992
main68,both_within_exposed,68,5,0.5758844866720498,0.008575458247278898,0.14780274847242197,0.007120619272243422
main68,augmentation_within_exposed,68,5,0.7176849444996485,0.004952635153301334,0.31425445038721544,0.010992478050536755
lean90,share_exposed,90,5,0.9466933148648499,0.0008524069624205041,0.8889273179634143,0.0016053733860268758
lean90,substitution_share,90,5,0.9380055401358522,0.0007849127514423978,0.8769867466646291,0.0021185915867859046
lean90,both_share,90,5,0.9458568389828169,0.0008964763539461888,0.8853578488683802,0.0014790426972136092
lean90,augmentation_share,90,5,0.8019480170613565,0.0022496318023201055,0.5923873812431195,0.0053012077953477465
lean90,substitution_within_exposed,90,5,0.7053321224186009,0.0027837718954860737,0.4260736574981962,0.004558091005381174
lean90,both_within_exposed,90,5,0.6440975954383374,0.0022435948723595945,0.29458409257638174,0.006065537019194449
lean90,augmentation_within_exposed,90,5,0.5968292090275982,0.004965863225230025,0.15137893585919807,0.006192993478426795
minimal118,share_exposed,118,5,0.9463351835008835,0.00020206820586237407,0.8907873255499215,0.002136833513825039
minimal118,substitution_share,118,5,0.9360028671071479,0.0006509283158208807,0.8751279642938403,0.0011070791618926039
minimal118,both_share,118,5,0.9465465856144417,0.00043199125867396664,0.8901641121653473,0.0016738030781144986
minimal118,augmentation_share,118,5,0.8208580583659331,0.0015446995265817065,0.6273491929579624,0.002163437673632845
minimal118,substitution_within_exposed,118,5,0.7869025496409657,0.0030075854279115965,0.5616432779191035,0.005856114044816176
minimal118,both_within_exposed,118,5,0.6774086376491549,0.002809358350859194,0.3495013132782792,0.0075853347806333704
minimal118,augmentation_within_exposed,118,5,0.6668964688942881,0.0020300566049826826,0.29780146272303487,0.005064403599239072
